label,text,source
Business,"Trump briefed on military and covert options for Iran, sources say. The US president also imposes a 25% tariff on countries that ""do business"" with Tehran, while Iran's foreign minister says his country is ""ready for war"".",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Former Fed chairs condemn criminal investigation into Jerome Powell. Three former heads of the central bank say the probe seeks to undermine the Fed's independence and ""has no place"" in the US.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Trump warns of 'mess' ahead of legal ruling on tariffs. The Supreme Court's decision on Trump's trade strategy could come as soon as Wednesday.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Faisal Islam: Trump faces extraordinary moment in spat with Fed chair. Jerome Powell's public response to a DoJ investigation could be a seismic moment for Donald Trump's presidency.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"X could 'lose right to self regulate', says Starmer. It is currently illegal to share deepfakes, but the law against creating them has not yet come into force.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Why are more bosses sharing the top job?. More bosses are sharing the top job giving them more time for family and breaks.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"UK set for a 'booming' mortgage market, say analysts. Competition among lenders in the UK suggests that rates could be cut in the coming weeks.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Heineken boss steps down as beer sales slow. The move to low and no-alcohol has led to falling sales at the brewing giant.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Trump plan to cap credit card costs hits bank shares. The US president has called for interest rates on credit cards to be capped at 10% for one year.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,US justice department opens criminal probe into Fed chair. Jerome Powell said he believed the investigation was due to Donald Trump's anger over the Fed's refusal to cut interest rates.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Instagram denies breach after many receive emails asking to reset password. The social media platform has said there was ""no breach of its systems"" but questions remain.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Vets under corporate pressure to increase revenue, BBC told. Questions have been raised about whether the pet-care market is giving customers value for money.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Google employee made redundant after reporting manager who showed nude of wife, court hears. Victoria Woodall claims she was retaliated against after reporting a manager who told clients stories about his swinger lifestyle.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"The FTSE 100 has hit a record high. Is now the time to start investing?. As the FTSE hits the 10,000 mark, the chancellor is encouraging more of us to become investors - but is it the right time?",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"'Out of stock': What went wrong at luxury retailer Saks?. Saks Global, which owns Saks Fifth Avenue and Neiman Marcus, is expected to imminently file for bankruptcy protection, leaving questions about the retailer's future.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Potholes map rates council road repair progress. Thirteen local authorities received a ""red rating"" on the Department for Transport mapping tool for England.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Malaysia and Indonesia block Musk's Grok over explicit deepfakes. Sexualised images of real people generated by Grok have circulated on X in recent weeks.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"'Unprecedented' numbers seeking debt help post-Christmas, say charities. Debt charities say that calls have risen compared with last year as people are urged to seek help.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Musk says X outcry is 'excuse for censorship'. The government is urging Ofcom to use all its powers – up to and including an effective ban – against X.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Trump seeks $100bn for Venezuela oil, but Exxon boss says country 'uninvestable'. Oil executives expressed caution, with one executive saying Venezuela had seized their assets twice.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"EU reaches South America trade deal after 25 years of talks. Some farmers in Europe opposed the deal, but the EU Commission said it had listened to their concerns.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Businesses call to be included in any pub rates backtrack. Shops, pharmacies and music venues want any climbdown on business rates for pubs to apply to them too.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,US calls Argentina peso bet a 'homerun deal'. The US Treasury Secretary said the US no longer held pesos in its exchange stabilisation fund.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,US job creation in 2025 slows to weakest since Covid. Employment growth for the world's largest economy eased significantly last year.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"Weight loss jabs affecting Greggs, boss says. The Greggs boss says there is ""no doubt"" weight loss jabs have led it to having a healthier menu.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Ofcom urged to use 'banning' powers over X AI deepfakes. It follows an ongoing backlash against the use of X's AI Grok to digitally remove clothing from images.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Inside the sub-zero lair of the world's most powerful computer. Faisal Islam gets rare access to Willow - Google's quantum computer.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Why luxury carmakers are now building glitzy skyscrapers. Bugatti is the latest auto firm to construct an opulent apartment building for the super rich.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,"'I had no electricity for six months': US families struggle with soaring energy prices. Rising electricity costs have emerged as a key cost-of-living concern, pushing families further into debt.",https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,Excel: The software that's hard to quit. Companies are trying to wean staff off Excel spreadsheets to centralise control of their data.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,How tariff disruption will continue reshaping the global economy in 2026. Trump's import levies are still changing the patterns of international trade.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
Business,How the new road safety measures could affect you. The government is proposing lowering alcohol limits for drivers and regular eye tests for older motorists.,https://feeds.bbci.co.uk/news/business/rss.xml?edition=int
